127.0.0.1 - - [03/Dec/2021:00:15:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:19 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:19 +0900] "GET /test2/main HTTP/1.1" 200 6173
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:19 +0900] "GET /test2/images/logo_checkkeu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:27 +0900] "GET /test2/main HTTP/1.1" 200 6569
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:27 +0900] "GET /test2/images/logo_checkkeu.png;jsessionid=FDF8785E2C2E417023B6464EC5ADCEF7 HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:35 +0900] "GET /test2/user/login;jsessionid=FDF8785E2C2E417023B6464EC5ADCEF7 HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:35 +0900] "GET /test2/images/logo_checkkeu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:51 +0900] "POST /test2/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:51 +0900] "GET /test2/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:51 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:15:54 +0900] "GET /test2/policy/insert HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:16 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:16 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:19 +0900] "GET /test2/policy/search HTTP/1.1" 200 6100
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:21 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:21 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:36 +0900] "GET /test2/policy/search HTTP/1.1" 200 6100
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:41 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:41 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:42 +0900] "GET /test2/policy/search HTTP/1.1" 200 6100
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:49 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:49 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:51 +0900] "GET /test2/policy/search HTTP/1.1" 200 6100
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:52 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:16:52 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:17:00 +0900] "GET /test2/policy/search HTTP/1.1" 200 6100
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:17:01 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:17:01 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:17:16 +0900] "GET /test2/post/view HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:21:04 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:21:04 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:21:11 +0900] "GET /test2/post/list HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:22:17 +0900] "GET /test2/post/list HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:22:19 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:22:20 +0900] "GET /test2/post/list HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:22:51 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:22:53 +0900] "GET /test2/post/list HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:39:00 +0900] "GET /test2/post/list HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:39:02 +0900] "GET /test2/post/list HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:39:50 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:39:51 +0900] "GET /test2/post/list HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:23 +0900] "GET /test2/post/list HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:35 +0900] "GET /test2/post/list HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:54 +0900] "GET /test2/post/list HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:54 +0900] "GET /test2/post/list HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:54 +0900] "GET /test2/post/list HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:55 +0900] "GET /test2/post/list HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:55 +0900] "GET /test2/post/list HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:55 +0900] "GET /test2/post/list HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:40:55 +0900] "GET /test2/post/list HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:03 +0900] "GET /test2/post/list HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:03 +0900] "GET /test2/post/list HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:20 +0900] "GET /test2/post/list HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:20 +0900] "GET /test2/post/list HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:20 +0900] "GET /test2/post/list HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:20 +0900] "GET /test2/post/list HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:21 +0900] "GET /test2/post/list HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:46 +0900] "GET /test2/post/list HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:47 +0900] "GET /test2/post/list HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:41:47 +0900] "GET /test2/post/list HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:42:04 +0900] "GET /test2/post/list HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:42:28 +0900] "GET /test2/post/list HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:42:59 +0900] "GET /test2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:42:59 +0900] "GET /test2/main HTTP/1.1" 200 6358
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:43:01 +0900] "GET /test2/post/list HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:48:21 +0900] "GET /test2/post/list HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:48:26 +0900] "GET /test2/post/list HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:49:56 +0900] "GET /test2/post/list HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:49:56 +0900] "GET /test2/post/list HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:49:57 +0900] "GET /test2/post/add HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:50:41 +0900] "GET /test2/post/list HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:50:42 +0900] "GET /test2/post/list HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:50:43 +0900] "GET /postWrite.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:50:51 +0900] "GET /test2/post/list HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:50:52 +0900] "GET /post/postWrite.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:51:06 +0900] "GET /test2/post/list HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:51:07 +0900] "GET /test2/postWrite.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:51:17 +0900] "GET /test2/post/list HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:51:18 +0900] "GET /test2/post/postWrite.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [03/Dec/2021:00:52:01 +0900] "GET /test2/post/list HTTP/1.1" 200 2586
